WikidataID,itemLabel
Q468807,Kay Granger
Q1397359,Greg Walden
Q460652,Nita Lowey
Q472675,Frederick
Q985175,Alachua
Q55715275,BuzzFeed News
Q2892284,Baylor College of Medicine
Q511243,AmeriCorps
Q30255710,China National Center for Biotechnology Development
Q4775352,Antiviral Research
Q1562058,Maureen Dowd
Q5476534,Fox & Friends
Q3052772,Emmanuel Macron
Q15944807,"Institute of Zoology, Chinese Academy of Sciences"
Q65379,Virginia Tech
Q327022,Rockville
Q3437091,Robin Kelly
Q461679,Yvette Clarke
Q561284,Cedric Richmond
Q4960712,Brenda Lawrence
Q13562359,Ayanna Pressley
Q319099,Michael Dukakis
Q23505,George H. W. Bush
Q32620,Tulsi Gabbard
Q27133033,Coalition for Epidemic Preparedness Innovations
Q688592,GAVI
Q5034686,Cape Cod Hospital
Q557730,Sean Hannity
Q10853588,Kamala Harris
Q689141,Spotify
Q70058728,Apple Podcasts
Q3101621,George Haddow
Q31112,Bill Frist
Q443640,Tom Daschle
Q4744423,American Medical Student Association
Q434804,Dick Durbin
Q63879,Chris Christie
Q17182897,Carrie Hessler-Radelet
Q292569,Donna Shalala
Q1340268,John Garamendi
Q18684027,Amata Coleman Radewagen
Q868421,"University of California, Irvine"
Q1251128,Journal of Virology
Q235034,University of Pittsburgh
Q466809,American Society for Microbiology
Q170581,Nancy Pelosi
Q23950132,Christl Ann Donnelly
Q189022,Imperial College London
Q16215114,Hari Sreenivasan
Q25245121,Bloomberg Radio
Q1172506,European General Data Protection Regulation
Q237560,Barbara Boxer
Q461391,Gavin Newsom
Q795454,Barnes & Noble
Q49117,University of Pennsylvania
Q1512226,Howard Hughes Medical Institute
Q66732898,Peter Daszak
Q906562,Stuart Schreiber
Q61328644,Gavin Yamey
Q131252,University of Chicago
Q5611155,Kaiser Permanente Washington Health Research Institute
Q19867208,Matthias Gromeier
Q429863,Florida Atlantic University
Q632891,McMaster University
Q49210,New York University
Q7895888,University of Nebraska Medical Center
Q49212,Texas A&M University
Q487556,University of Sydney
Q23662491,Ivan Oransky
Q43176170,Shi Zhengli
Q235650,Maria João Pires
Q84263196,COVID-19
Q84263196,coronavirus
Q84263196,COVID
Q84263196,Covid-19
Q84263196,covid-19
Q84263196,COVID 19
Q84263196,Covid
Q84263196,Coronavirus Disease 2019
Q84263196,COV 19
