WikidataID,itemLabel,sitelinks
Q27809653,Trump Administration,
Q87767345,The Coronavirus Task Force,
Q285599,"Albany, Ga.",
Q11231,Homeland Security Agency,
Q4709390,Albany State,
Q41087,"Raleigh, NC",
Q27809653,The Trump Administration,
Q108117,Marin,
Q1223,Wash.,
Q285599,Albany Ga.,
Q1428,GEORGIA,
Q583725,Centers for Disease Control & Prevention,
Q41057,"Topeka, KS",
Q99,CALIFORNIA,
Q812,FLORIDA,
Q61,"WASHINGTON, DC",
Q506921,St. Tammany,
Q484678,"Berkeley, CA",
Q913543,"Watsonville, CA",
Q108106,County of Santa Barbara,
Q49256,Bakersfield CA,
Q3382998,University System of Florida,
Q37043,"Tallahassee, Florida",
Q327515,"Laramie, WY",
Q1003662,"Dahlonega, GA",
Q37043,"Tallahassee, FL",
Q1021681,"Ypsilanti, Ml",
Q92526268,Brianna Barrios,
Q355522,Leader McConnell,
Q91938020,Darcie Johnston,
Q3105215,DeSantis,
Q16730147,"Sullivan, Jacob J",
Q21061985,"Sherwood-Randall, Liz",
Q618727,"Donilon, Thomas E.",
Q3702047,"McDonough, Denis R.",
Q7183630,"Gordon, Philip H",
Q16730147,"Sullivan, Jacob",
Q4886347,"Rhodes, Benjamin J.",
Q28445568,"Vietor, Tommy",
Q3176689,"Feltman, Jeffrey D",
Q23050162,"Wells, Alice",
Q6759873,"Scobey, Margaret",
Q7365042,"Schlicher, Ronald",
Q433742,"Patterson, Anne W",
Q16886217,"Tueller, Matthew H",
Q7680777,"Wittes, Tamara",
Q104784118,"Holtz, Greta",
Q469222,"Abedin, Huma",
Q106178516,"Lempert, Yael",
Q4118531,"Cretz, Gene A",
Q3161915,"Sanderson, Janet",
Q469222,Huma,
Q1569513,"Grossman, Marc",
Q104857238,"Zeya, Uzra",
Q62016690,"Lakhdhir, Kamala",
Q463641,"Steinberg, James",
Q948920,"Kennedy, Patrick",
Q5092756,"Mills, Cheryl",
Q21932139,"Kaidanow, Tina",
Q12061545,"McEldowney, Nancy",
Q6154267,"Jacobs, Janice",
Q1441708,"Ricciardone, Francis J",
Q7351533,"Jacobson, Roberta",
Q4169153,"Sherman, Wendy",
Q3810992,"McHale, Judith",
Q1702273,"Carson, Johnnie",
Q15429937,"DiCarlo, Rosemary",
Q17318953,"Smith, Gayle E.",
Q23887956,"Barks-Ruggles, Erica J",
Q1240513,"Yamamoto, Donald",
Q2898783,"Shapiro, Daniel",
Q23887956,"Barks-Ruggles, Erica",
Q2898783,"Shapiro, Daniel B.",
Q7610057,"Mull, Stephen D",
Q16730147,"Sullivan, JacobJ",
Q7793367,"Nides, Thomas",
Q85795031,"Talwar, Puneet",
Q7821917,"Blinken, Antony J.",
Q261147,Mikulski,
Q50612,"Rice, Susan",
Q105061626,"Ahmed, Salman",
Q4532848,"Brimmer, Esther D",
Q22003782,"Crocker, Bathsheba",
Q5294424,"Gips, Donald H",
Q6390162,"Merten, Kenneth H",
Q6294,Secretary Clinton,
Q618727,Tom Donilon,
Q6833593,"Posner, Michael H",
Q6830857,"Corbin, Michael H",
Q106512571,"Bondy, Steven",
Q6792602,"Connelly, Maura",
Q510988,"Reynoso, Julissa",
Q1346811,"Crowley, Philip J",
Q3304911,"Verveer, Melanne",
Q28972111,"Toner, Mark",
Q368920,"Mitchell, George",
Q5042478,"Pascual, Carlos",
Q16727805,"Campbell, Piper",
Q4801814,"Valenzuela, Arturo",
Q6119424,"Walles, Jacob",
Q16731786,"Macmanus, Joseph",
Q1346811,"Crowley, Philip",
Q6446882,"Campbell, Kurt",
Q348185,"Cunningham, James",
Q76882726,"Goldberger, Thomas H",
Q6575375,"Rubinstein, Daniel H",
Q27450682,"Quam, Lois",
Q1274250,"Shah, Rajiv",
Q5386597,"Goosby, Eric",
Q7329655,"Verma, Richard",
Q1677579,"Lew, Jacob",
Q1677579,"Lew, Jacob J",
Q4974422,"Anderson, Brooke D",
Q155649,"Holbrooke, Richard",
Q7154188,"Jones, Paul W",
Q7184879,"Reines, Philippe",
Q459624,"Tauscher, Ellen",
Q6437240,"Balderston, Kris",
Q7345617,"Hormats, Robert D",
Q465477,"Slaughter, Anne-Marie",
Q19864563,"Chollet, Derek H",
Q244631,Panetta,
Q71371916,"Murphy, W Patrick",
Q3023757,"Mitchell, Derek J",
Q105047098,"Bitar, Maher",
Q50436814,"Vinograd, Samantha",
Q22316,Senator Kerry,
Q6294,Mrs. Clinton,
Q298443,Mr. Emanuel,
Q76,Mr. Obama,
Q1124,Mr. Clinton,
Q18761827,"Yun, Joseph",
Q20645208,"Moy, Kin W",
Q28591,Petraeus,
Q4496,Romney,
Q907913,"Koh, Harold Hongju",
Q1254,Annan,
Q1188501,"Nuland, Victoria J",
Q3657872,"Marshall, Capricia",
Q6830434,"Froman, Michael",
Q105677048,"Turk, David",
Q437599,"Stern, Todd D",
Q16204473,"Baer, Daniel",
Q105306790,"Lenderking, Timothy",
Q66107,Kissinger,
Q19564219,"Meehan, Bernadette",
Q1188501,"Nuland, Victoria",
Q1805535,Lanny J. Davis,
Q469222,"Abed in, Huma",
Q5489289,"Ruggiero, Frank",
Q2054872,"Munter, Cameron",
Q6294,HILLARY RODHAM CLINTON,
Q311211,Geithner,
Q57673,Maliki,
Q170581,Pelosi,
Q43944,President Karzai,
Q355522,McConnell,
Q463641,Jim Steinberg,
Q3176689,Jeff Feltman,
Q44329,President Bashar,
Q44329,Mr. Assad,
Q10390,McCain,
Q57741,Fayyad,
Q82437552,"Henshaw, Simon",
Q58160,Mashabane,
Q212979,Secretary Gates,
Q26703276,"Klein, Jennifer",
Q3304911,Melanne S. Verveer Ambassador,
Q34105,President Hosni Mubarak,
Q13133,Mrs. Obama,
Q374338,McChrystal,
Q6446882,Kurt Campbell,
Q19878,Gadhafi,
Q16186345,"Llorens, Hugo",
Q76,Mr Obama,
Q43944,Mr. Karzai,
Q17293,Dalai Lama,
Q3291020,"Otero, Maria",
Q6294,Mrs Clinton,
Q7204,Mideast,
Q85,CAIRO,
Q37470,UNSC,
Q851756,NSC,
Q37470,UN Security Council,
Q155654,ISAF,
Q40469,The Associated Press,
Q47423,UNGA,
Q166032,WaPo,
Q48525,U.S. Government,
Q2606469,Turkey-Armenia,
Q37470,U.N. Security Council,
Q458,EU,
Q1065,UNITED NATIONS,
Q851756,National Security Council,
Q58198,Davutoglu,
Q81299,OSCE,
Q929154,Brookings,
Q152220,PKK,
Q48525,United States Government,
Q1189483,Dennis_B._Ross,
Q5838,KABUL,
Q204344,World Food Program,
Q1218,JERUSALEM,
