WikidataID,itemLabel,en_description,sitelinks
Q58160,Maite Nkoana-Mashabane,South African politician,19
Q212979,Robert Gates,"CIA director, U.S. Secretary of Defense, and university president",54
Q26703276,Jennifer Klein,American historian,1
Q34105,Hosni Mubarak,Egyptian president and politician (1928-2020),132
Q13133,Michelle Obama,lawyer and First Lady of the United States,117
Q374338,Stanley A. McChrystal,American general,25
Q16196386,Burns Strider,American politician,1
Q19878,Muammar Gaddafi,"Libyan revolutionary, politician and political theorist (1942–2011)",167
Q16186345,Hugo Llorens,American diplomat,2
Q17293,His Holiness the Dalai Lama 14 Tendzin Gyatso,spiritual leader of Tibet,158
Q3291020,Maria Otero,American government official,6
Q174214,Cherie Blair,British barrister and wife of former British Prime Minister Tony Blair (born 1954),25
Q6559125,Lissa Muscatine,American speechwriter,1
Q7204,Middle East,region that encompasses majority of Western Asia and Egypt,215
Q85,Cairo,capital city of Egypt,241
Q9531,BBC,public service broadcaster of the UK,125
Q37470,United Nations Security Council,"one of the six principal organs of the UN, charged with the maintenance of international peace and security",117
Q32835,National Transitional Council,de facto government of Libya from 2011 to 2012,45
Q851756,United States National Security Council,U.S. federal executive national security and intelligence forum,28
Q155654,International Security Assistance Force,"NATO-led security mission in Afghanistan, 2001–14",49
Q40469,Associated Press,multinational nonprofit news agency,78
Q47423,United Nations General Assembly,principal organ of the United Nations,100
Q166032,The Washington Post,"daily broadsheet newspaper in Washington, D.C.",90
Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,182
Q65358,Gallup,"American research-based, global performance-management consulting company",24
Q42418,Taliban,very very bad people that took a country cuz they are super duper mean,128
Q48525,Federal Government of the United States of America,national government of the United States,53
Q26,Northern Ireland,constituent country of the United Kingdom,199
Q2606469,Armenia–Turkey relations,Bilateral relations between Armenia and Turkey,17
Q458,European Union,economic and political union of 27 states located in Europe,287
Q188413,Newsweek,American magazine,50
Q21578,Princeton University,"private Ivy League research university in Princeton, New Jersey, United States",94
Q38799,Hamas,Palestinian political party and militant organization,114
