WikidataID,itemLabel,sitelinks
Q61923,World Tourism Organization,65
Q487883,United Nations Human Settlements Programme (UN-Habitat),31
Q7888374,United Nations Development Assistance Framework,3
Q794,Iran,347
Q794,Iran,s
Q794,Iran,w
Q796,Iraq,320
Q796,Iraq,w
Q810,Jordan,286
Q810,Jordan,s
Q810,Jordan,w
Q14288,United Nations Office at Vienna,20
Q208645,United Nations Framework Convention on Climate Change,53
Q6052366,International Peace Institute,7
Q220563,United Nations Secretariat,62
Q2639272,United Nations Millennium Declaration,17
Q47359,Kyoto Protocol,87
Q392774,University for Peace,30
Q384410,Global Environment Facility,19
Q1274556,United Nations Information and Communication Technologies Task Force,4
Q161718,United Nations Development Programme,72
Q1072857,International Crisis Group,21
Q40556,Horn of Africa,107
Q40556,Horn of Africa,w
Q15787,HIV,103
Q588982,Joint United Nations Programme on HIV/AIDS,33
Q2300936,Special Committee on Peacekeeping Operations,3
Q201054,International Maritime Organization,54
Q593662,United Nations Transitional Authority in Cambodia,28
Q40970,International Olympic Committee,99
Q253414,FIFA,147
Q14707545,United Nations International School,5
Q7888512,United Nations Secretariat Building,13
Q2748702,Department for International Development,13
Q7178,International Red Cross and Red Crescent Movement,126
Q1144508,United Nations Economic Commission for Africa,26
Q686431,Vienna International Centre,24
Q746022,United Nations Correspondents Association,8
Q25407873,United Nations Population Award,1
Q7888461,United Nations Mine Action Service,6
Q164746,The Wall Street Journal,76
Q1045198,Permanent Court of Arbitration,37
Q48340,CNN,103
Q848633,International Chamber of Commerce,41
Q218026,International Day of Solidarity with the Palestinian People,20
Q201190,Palestinians,62
Q689859,International Fund for Agricultural Development,39
Q217595,Oxford University Press,55
Q469618,Commission on Narcotic Drugs,9
Q50303523,United Nations Information Centres,3
Q763532,International Bar Association,14
Q667217,International Narcotics Control Board,10
Q170424,World Meteorological Organization,69
Q488981,European Bank for Reconstruction and Development,50
Q46694,Government of Sudan,3
Q46694,Government of Sudan,w
Q333886,Georgetown University,51
Q327632,International Day of Peace,54
Q41053,Hezbollah,109
Q473046,Supachai Panitchpakdi,16
Q7888481,"United Nations Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States",9
Q11299,Manhattan,121
Q2362881,African Union Commission,10
Q836,Myanmar,292
Q1665502,United Nations Integrated Mission in East Timor,12
Q881,Vietnam,342
Q889,Afghanistan,331
Q485207,Shanghai Cooperation Organisation,78
Q854,Sri Lanka,285
Q854,Sri Lanka,w
Q8896,Council of the European Union,75
Q7888477,United Nations Office for West Africa and the Sahel,2
Q7888493,United Nations Peacebuilding Support Office in Guinea-Bissau,3
Q1007,Guinea-Bissau,267
Q1109786,Special Tribunal for Lebanon,12
Q122880,European Court of Human Rights,80
Q1044,Sierra Leone,265
Q1387974,United Nations Global Compact,20
Q23427,South Ossetia,174
Q81299,Organization for Security and Co-operation in Europe,87
Q849603,National League for Democracy,36
Q35493,Almaty,143
Q688306,North Darfur,39
Q838778,South Darfur,39
Q487381,United Nations Mission in Ethiopia and Eritrea,16
Q155654,International Security Assistance Force,49
Q42418,Taliban,130
Q574,East Timor,267
Q610055,Kodori Valley,28
Q3394179,Haitian National Police,8
Q456415,Litani River,41
Q1188366,World Health Assembly,12
Q3152150,United Nations Institute for Disarmament Research,15
Q383108,Afghan National Army,21
Q488326,South Kivu,52
Q34433,University of Oxford,132
Q1507285,Republic of Sierra Leone Armed Forces,9
Q459960,Sudan People's Liberation Movement,30
Q5570494,Global Migration Group,1
Q174570,London School of Economics and Political Science,73
Q655683,World Federation of United Nations Associations,6
Q16952,Peking University,69
Q873675,Government of Thailand,8
Q16959083,United Nations System Staff College,4
Q3787,Abuja,174
Q159493,government of Germany,45
Q3773971,Government of Italy,18
Q1069175,International Federation of Red Cross and Red Crescent Societies,36
Q7813,Universal Declaration of Human Rights,222
Q2531088,United Nations Office for Project Services,14
Q846331,West Darfur,38
Q49210,New York University,72
Q210016,United Nations Day,58
Q986,Eritrea,276
Q173310,Kirkuk,83
Q155801,Fuerzas Armadas Revolucionarias de Colombia - EjÃ©rcito del Pueblo,67
Q19771,G20,96
Q11751,Nagoya,150
Q100294968,International Herald Tribune,2
Q592588,World Press Freedom Day,55
Q23681,Turkish Republic of Northern Cyprus,161
Q4310949,Government of the Netherlands,5
Q1505172,Mano River Union,9
Q206921,Pfizer,73
Q183303,Jalalabad,73
Q183303,Jalalabad,w
Q7888446,United Nations Office for Disaster Risk Reduction,11
Q789915,United States Department of State,76
Q789915,United States Department of State,w
Q565507,Munich Security Conference,21
Q2916579,Kosovo Police,14
Q1246562,Assembly of the Republic of Kosovo,36
Q712,Fiji,252
Q204381,Goma,62
Q762266,City University of New York,26
Q8036386,World Urban Forum,7
Q766445,Okinawa Prefecture,101
Q766445,Okinawa Prefecture,w
Q1514290,Kosovo Protection Corps,11
Q48525,federal government of the United States,53
Q233838,Rakhine State,56
Q1068752,Howard University,35
Q131127,Banja Luka,93
Q1278383,Government of Croatia,16
Q225950,Economic Cooperation Organization,42
Q1672351,federal government of Iraq,7
Q15143900,United Nations Special Rapporteur,13
Q193366,Kosovo Liberation Army,48
Q1264411,"Islamic world Educational, Scientific and Cultural Organization",18
Q35883,Aral Sea,124
Q283639,World Council of Churches,44
Q47492,Gaza City,95
Q125309,Lake Chad,95
Q153770,Deutsche Welle,71
Q657112,United Nations Special Commission,10
Q876072,Universal Periodic Review,13
Q493751,KPMG,43
Q193272,Economic Community of West African States,55
Q16056518,Nepalese Army,5
Q7888355,United Nations Climate Change conference,23
Q15106243,International Conference on the Great Lakes Region,5
Q855106,Alliance of Civilizations,22
Q1641888,African Union Mission to Somalia,20
Q670434,United Nations Mission in South Sudan,17
Q47543,Organisation of Islamic Cooperation,83
Q17884,LGBT,116
Q2378937,Durban Review Conference,11
Q677646,United Nations Mission in Nepal,8
Q205047,Kurdistan Region,94
Q1546448,United Nations Supervision Mission in Syria,9
Q1029757,Camp Ashraf,10
Q12525579,United Nations Multidimensional Integrated Stabilization Mission in Mali,19
Q7888440,United Nations Integrated Peacebuilding Office in Guinea-Bissau,5
Q958,South Sudan,252
Q3275050,African-led International Support Mission to Mali,14
Q2429253,Islamic State,154
Q22907841,Sendai Framework for Disaster Risk Reduction,6
Q321375,Lauris Norstad,10
Q2492,Konrad Adenauer,132
Q2492,Konrad Adenauer,w
Q689779,Lyman Lemnitzer,19
Q64014672,James H. Foskett,1
Q6180605,Jerauld Wright,2
Q202770,Alexei Kosygin,57
Q2848151,AndrÃ© Lemonnier,2
Q4391491,Robert Carney,6
Q4798161,Arthur C. Davis,2
Q36124,Strait of Gibraltar,114
Q4412,West Africa,137
Q1254129,SHAPE Technical Centre,3
Q61,"Washington, D.C.",283
Q49258,Colorado Springs,103
Q246813,Luxembourg Armed Forces,23
Q2634,Naples,190
Q16147999,"Submarine Force, Atlantic",1
Q109016,Stortinget,52
Q13116,Benelux,111
Q161348,Ramstein Air Base,33
Q133536,Geneva Conventions,75
Q4628,Faroe Islands,196
Q1930,Ottawa,212
Q109827665,Karl Truesdell,1
Q109827665,Karl Truesdell,2
Q301853,Joseph Lawton Collins,24
Q284314,Paul Stehlin,2
Q157068,Louis Mountbatten,59
Q6140548,James O. Curtis,2
Q6829812,Michael Denny,2
Q60337,Adolf Heusinger,21
Q110937578,Carl H. Jark,1
Q7964793,Walter F. Boone,2
Q5246050,Dean C. Strother,1
Q60777,Manfred WÃ¶rner,28
Q5264786,Desmond Piers,3
Q128995,Anthony Eden,87
Q128995,Anthony Eden,w
Q282882,Maurice Schumann,20
Q333080,Selwyn Lloyd,18
Q124617,Georgy Zhukov,97
Q124617,Georgy Zhukov,w
Q332365,Ernest Bevin,39
Q222,Albania,330
Q262,Algeria,321
Q262,Algeria,w
Q35958,Bosporus,121
Q9212,United States Army,77
Q6756041,Marcel AndrÃ© Boisard,4
Q604951,Dimitris Perrikos,3
Q7155314,Paulo SÃ©rgio Pinheiro,4
Q205790,Kemal DerviÅ,14
Q6142517,Nobuaki Tanaka,1
Q579414,Anwarul Karim Chowdhury,7
Q43179,Ellen Johnson Sirleaf,106
Q7160651,Peggy Dulany,3
Q1363729,Kumi Naidoo,20
Q23368,Chris Patten,39
Q230578,Fernando Henrique Cardoso,57
Q11368635,Toshiyuki Niwa,1
Q2718472,Michael W. Doyle,9
Q18390243,Martin Barber,1
Q6254622,John Renninger,2
Q33031,Vojislav KoÅ¡tunica,56
Q202725,Mia Farrow,65
Q310574,Quett Masire,43
Q20981864,Dhaya Pillay,1
Q76156,Bacharuddin Jusuf Habibie,64
Q16210743,Salim Lone,1
Q160717,Tom Lantos,34
Q517589,Richard Goldstone,18
Q2837099,Alioune Blondin BÃ©ye,1
Q109130,P. J. Patterson,26
Q503426,Jesse Helms,29
Q3294831,Marrack Goulding,5
Q721292,Rolf EkÃ©us,8
Q473507,Giorgio Giacomelli,3
Q76793,Klaus Schwab,40
Q1187410,Denis Halliday,4
Q1148669,Matamela Cyril Ramaphosa,83
Q1592085,Hazem Al Beblawi,29
Q20685611,Michael W. Sonnenfeldt,1
Q5294839,Donald McHenry,7
Q96912042,Paolo Galli,0
Q152768,Daniel Barenboim,52
Q231276,AngÃ©lique Kidjo,46
Q5112015,Christopher Burnham,3
Q1707493,Joseph Legwaila,3
Q477201,Teodoro Nguema,12
Q3606990,Ahmed Djoghlaf,3
Q5536201,George Alleyne,2
Q374783,Sonia Picado Sotela,6
Q2894286,JosÃ© Luis Machinea,5
Q43033,Desmond Tutu,108
Q311269,John R. Bolton,50
Q57371,Ilham Aliyev,116
Q57284,Ãlafur Ragnar GrÃ­msson,67
Q16104604,Lauro Baja,1
Q57394,Nursultan Nazarbayev,105
Q193238,Festus Mogae,50
Q57392,Armando Guebuza,45
