"","item","itemLabel","bioid"
"200","http://www.wikidata.org/entity/Q129756","George W. Thompson","T000201"
"201","http://www.wikidata.org/entity/Q174093","Daniel Wallace","W000075"
"202","http://www.wikidata.org/entity/Q174159","Jacob Swoope","S001125"
"203","http://www.wikidata.org/entity/Q174264","David Dreier","D000492"
"204","http://www.wikidata.org/entity/Q174624","James Indus Farley","F000019"
"205","http://www.wikidata.org/entity/Q174690","Robert E. Jones, Jr.","J000248"
"206","http://www.wikidata.org/entity/Q174949","Earl Hogan","H000690"
"207","http://www.wikidata.org/entity/Q175223","Bennett M. Stewart","S000902"
"208","http://www.wikidata.org/entity/Q175239","Tom Loftin Johnson","J000178"
"209","http://www.wikidata.org/entity/Q175736","John Crowell","C000941"
"210","http://www.wikidata.org/entity/Q176910","Thomas Jefferson Lilly","L000311"
"211","http://www.wikidata.org/entity/Q177078","John Kerr Hendrick","H000491"
"212","http://www.wikidata.org/entity/Q177100","James Linn","L000336"
"213","http://www.wikidata.org/entity/Q177159","Charles A. Kading","K000001"
"214","http://www.wikidata.org/entity/Q177217","Tomlinson Fort","F000289"
"215","http://www.wikidata.org/entity/Q177238","Esteban Edward Torres","T000316"
"216","http://www.wikidata.org/entity/Q177350","Jacob Dolson Cox","C000833"
"217","http://www.wikidata.org/entity/Q177650","Caleb Cushing","C001016"
"218","http://www.wikidata.org/entity/Q177883","Lawrence Lewis","L000291"
"219","http://www.wikidata.org/entity/Q177973","Joshua G. Hall","H000057"
"220","http://www.wikidata.org/entity/Q178086","Benjamin C. Hilliard","H000620"
"221","http://www.wikidata.org/entity/Q178130","Charles Thone","T000234"
"222","http://www.wikidata.org/entity/Q178255","Edwin Ruthvin Vincent Wright","W000758"
"223","http://www.wikidata.org/entity/Q178360","Henry Adams Bullard","B001049"
"224","http://www.wikidata.org/entity/Q178468","Florence Reville Gibbs","G000155"
"225","http://www.wikidata.org/entity/Q178632","Lawrence J. Smith","S000586"
"226","http://www.wikidata.org/entity/Q178640","John Duncan Young","Y000044"
"227","http://www.wikidata.org/entity/Q178738","Samuel W. Dana","D000024"
"228","http://www.wikidata.org/entity/Q178881","George Rockingham Gilmer","G000216"
"229","http://www.wikidata.org/entity/Q179150","Sonny Bono","B000622"
"230","http://www.wikidata.org/entity/Q179156","Charles Delano","D000213"
"231","http://www.wikidata.org/entity/Q179529","Daniel Buck","B001014"
"232","http://www.wikidata.org/entity/Q179732","Nathan Deal","D000168"
"233","http://www.wikidata.org/entity/Q179915","Benjamin W. Harris","H000233"
"234","http://www.wikidata.org/entity/Q180092","Aaron Matson","M000247"
"235","http://www.wikidata.org/entity/Q180167","Lilius Bratton Rainey","R000017"
"236","http://www.wikidata.org/entity/Q180232","Thomas M. Norwood","N000160"
"237","http://www.wikidata.org/entity/Q180334","Nathaniel B. Borden","B000636"
"238","http://www.wikidata.org/entity/Q180390","Tom DeLay","D000217"
"239","http://www.wikidata.org/entity/Q180501","David W. Hopkins","H000772"
