,WikidataID,itemLabel,sitelinks
389,Q4414,Fauré Gnassingbé,64
390,Q4496,Pierre Delecto,102
391,Q4496,Willard Mitt Romney,102
392,Q4593,Rajiv Ratna Gandhi,100
393,Q4593,Rajiv Ratna Gandhi,100
394,Q4593,Rajiv Ratna Gandhi,100
395,Q4593,Rajiv Ratna Gandhi,100
396,Q6294,Hillary Rodham Clinton,181
397,Q6294,First Lady Clinton,181
398,Q6294,First Lady Hillary Clinton,181
399,Q6294,First Lady Hillary Rodham Clinton,181
400,Q6294,Hillary Diane Clinton,181
401,Q6294,Hillary Diane Rodham,181
402,Q6294,Hillary Diane Rodham Clinton,181
403,Q6294,Hillary R. Clinton,181
404,Q6294,Hillary Rodham,181
405,Q1230,Francesco Maurizio Cossiga,83
406,Q1253,Ban Ki Moon,149
407,Q1253,Ban Kimoon,149
408,Q1253,H.E. Ban Ki-moon,149
409,Q1253,Ki-moon Ban,149
410,Q8573,Sun Chung-san,138
411,Q8573,Sun Chungsan,138
412,Q8573,Sun Deming,138
413,Q8573,Sūn Démíng,138
414,Q8573,Sūn Dìxiàng,138
415,Q8573,Sun I-hsien,138
416,Q8573,Sun Jih-hsin,138
417,Q8573,Sun Jihhsin,138
418,Q8573,Sūn Rìxīn,138
419,Q8573,Sun Te-ming,138
420,Q8573,Sun Teming,138
421,Q8573,Sūn Wén,138
422,Q8573,Sun Yat Sen,138
423,Q8573,Sun Yatsen,138
424,Q8573,Sun Yi Xian,138
425,Q8573,Sun Yi-hsien,138
426,Q8573,Sun Yihsien,138
427,Q8573,Sun Yixian,138
428,Q8573,Sūn Yìxiān,138
429,Q8573,Sun Zaizhi,138
430,Q8573,Sun Zhongshan Xiansheng,138
431,Q8573,"Sun, Yat-sen",138
432,Q8573,Yahtsān,138
433,Q8573,Yahtsīn,138
434,Q857,Juan Luis Sanfuentes Andonaegui,23
435,Q885,Jozef Klemens Pilsudski,91
436,Q885,Józef Klemens Pilsudski,91
