"","item","itemLabel","bioid"
"257","http://www.wikidata.org/entity/Q122841","Adlai Stevenson III","S000890"
"258","http://www.wikidata.org/entity/Q122934","George R. Riddle","R000239"
"259","http://www.wikidata.org/entity/Q126264","Berkeley L. Bunker","B001061"
"260","http://www.wikidata.org/entity/Q127437","Carl Schurz","S000151"
"261","http://www.wikidata.org/entity/Q127524","Edward H. Rollins","R000411"
"262","http://www.wikidata.org/entity/Q127606","Samuel G. Arnold","A000295"
"263","http://www.wikidata.org/entity/Q130024","Johnny Isakson","I000055"
"264","http://www.wikidata.org/entity/Q130715","Isham G. Harris","H000243"
"265","http://www.wikidata.org/entity/Q131929","Edward Dickinson Baker","B000059"
"266","http://www.wikidata.org/entity/Q132185","William Plumer","P000393"
"267","http://www.wikidata.org/entity/Q133601","Murphy J. Foster","F000310"
"268","http://www.wikidata.org/entity/Q133830","Alexandre Mouton","M001050"
"269","http://www.wikidata.org/entity/Q134549","Ted Kennedy","K000105"
"270","http://www.wikidata.org/entity/Q139414","Zachariah Chandler","C000299"
"271","http://www.wikidata.org/entity/Q143644","Hiram Johnson","J000140"
"272","http://www.wikidata.org/entity/Q145051","Zales Nelson Ecton","E000037"
"273","http://www.wikidata.org/entity/Q155125","Scott Brown","B001268"
"274","http://www.wikidata.org/entity/Q155985","Rick Santorum","S000059"
"275","http://www.wikidata.org/entity/Q160157","Joe Lieberman","L000304"
"276","http://www.wikidata.org/entity/Q162269","Jefferson Davis","D000113"
"277","http://www.wikidata.org/entity/Q163011","Edward D. Crippa","C000906"
"278","http://www.wikidata.org/entity/Q163894","Thomas C. Platt","P000383"
"279","http://www.wikidata.org/entity/Q164438","Tasker Oddie","O000035"
"280","http://www.wikidata.org/entity/Q166016","Alexander Porter","P000436"
"281","http://www.wikidata.org/entity/Q166894","Benjamin F. Harding","H000189"
"282","http://www.wikidata.org/entity/Q167795","James Murray Mason","M000216"
"283","http://www.wikidata.org/entity/Q169011","John C. Frémont","F000374"
"284","http://www.wikidata.org/entity/Q169535","Zebulon Baird Vance","V000021"
"285","http://www.wikidata.org/entity/Q173981","Samuel D. Nicholson","N000101"
"286","http://www.wikidata.org/entity/Q174037","Henry Cabot Lodge","L000393"
"287","http://www.wikidata.org/entity/Q175085","Hazel Abel","A000010"
"288","http://www.wikidata.org/entity/Q175218","John Henderson","H000482"
"289","http://www.wikidata.org/entity/Q175877","William H. Crawford","C000895"
"290","http://www.wikidata.org/entity/Q176134","Jacob Read","R000092"
"291","http://www.wikidata.org/entity/Q176510","William A. Wallace","W000084"
"292","http://www.wikidata.org/entity/Q177931","George Turner","T000420"
"293","http://www.wikidata.org/entity/Q178738","Samuel W. Dana","D000024"
"294","http://www.wikidata.org/entity/Q179090","Aaron Burr","B001133"
"295","http://www.wikidata.org/entity/Q180232","Thomas M. Norwood","N000160"
"296","http://www.wikidata.org/entity/Q181727","William Gannaway Brownlow","B000963"
"297","http://www.wikidata.org/entity/Q182543","William Samuel Johnson","J000182"
"298","http://www.wikidata.org/entity/Q182642","John Glenn","G000236"
"299","http://www.wikidata.org/entity/Q365015","Jeff Davis","D000112"
"300","http://www.wikidata.org/entity/Q365032","Powell Clayton","C000498"
"301","http://www.wikidata.org/entity/Q365312","Algernon Paddock","P000010"
"302","http://www.wikidata.org/entity/Q365506","Henry Justin Allen","A000126"
"303","http://www.wikidata.org/entity/Q365679","John Milton Thayer","T000148"
"304","http://www.wikidata.org/entity/Q365714","Dwight Griswold","G000481"
"305","http://www.wikidata.org/entity/Q365803","Clyde M. Reed","R000112"
"306","http://www.wikidata.org/entity/Q365808","Henry S. Foote","F000251"
"307","http://www.wikidata.org/entity/Q365866","John McLean","M000550"
"308","http://www.wikidata.org/entity/Q366106","Adonijah Welch","W000261"
"309","http://www.wikidata.org/entity/Q366388","Frank Carlson","C000154"
"310","http://www.wikidata.org/entity/Q366489","Henry Smith Lane","L000060"
"311","http://www.wikidata.org/entity/Q366546","Joseph I. France","F000333"
"312","http://www.wikidata.org/entity/Q366553","Robert P. Griffin","G000465"
"313","http://www.wikidata.org/entity/Q366828","William H. McMaster","M000563"
"314","http://www.wikidata.org/entity/Q367165","Peter Norbeck","N000132"
"315","http://www.wikidata.org/entity/Q367709","Lynn Frazier","F000354"
"316","http://www.wikidata.org/entity/Q367750","Clarence Norman Brunsdale","B000982"
"317","http://www.wikidata.org/entity/Q367841","Anselm J. McLaurin","M000542"
"318","http://www.wikidata.org/entity/Q367854","Henry H. Schwartz","S000157"
"319","http://www.wikidata.org/entity/Q367986","Charles C. Gossett","G000337"
"320","http://www.wikidata.org/entity/Q368062","Elias Kane","K000006"
"321","http://www.wikidata.org/entity/Q368185","Franklin H. Elmore","E000158"
"322","http://www.wikidata.org/entity/Q368387","Thomas Worthington","W000750"
"323","http://www.wikidata.org/entity/Q368462","Bob Kasten","K000019"
"324","http://www.wikidata.org/entity/Q368652","William Alfred Buckingham","B001021"
"325","http://www.wikidata.org/entity/Q368666","Harley Martin Kilgore","K000176"
"326","http://www.wikidata.org/entity/Q368739","James Pearce","P000161"
"327","http://www.wikidata.org/entity/Q368920","George John Mitchell Jr.","M000811"
"328","http://www.wikidata.org/entity/Q369039","Anthony Kennedy","K000103"
"329","http://www.wikidata.org/entity/Q369047","Rod Grams","G000367"
"330","http://www.wikidata.org/entity/Q369084","Daniel Sheldon Norton","N000145"
"331","http://www.wikidata.org/entity/Q369143","Edward C. Walthall","W000111"
"332","http://www.wikidata.org/entity/Q369368","Truman Smith","S000621"
"333","http://www.wikidata.org/entity/Q369437","Pat Harrison","H000265"
"334","http://www.wikidata.org/entity/Q369493","Timothy O. Howe","H000856"
"335","http://www.wikidata.org/entity/Q369751","James Turner","T000423"
"336","http://www.wikidata.org/entity/Q369803","Andrew Jackson Houston","H000821"
"337","http://www.wikidata.org/entity/Q369827","Wall Doxey","D000480"
"338","http://www.wikidata.org/entity/Q369829","Stephen Mix Mitchell","M000828"
